Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
121,0.7552969753,-1.872889444,655.0330868,128.5230131,-1757.733702,-664.4467611,4011.381013,-121.5739597,53.27535542,3.589844855,1.360450506,-0.3346755555,16.77299128,-23.07108956
122,0.75588759,-1.876462555,655.6199847,127.8286377,-1761.082933,-666.8132503,4015.627603,-121.6816319,53.24232897,3.600899255,1.358860684,-0.3392044538,16.75420768,-23.01544347
123,0.7566388952,-1.879844604,656.3480856,127.1970606,-1764.255881,-669.0944254,4019.668585,-121.9170427,53.21879304,3.611012153,1.360163612,-0.3411358545,16.72956754,-22.97015423
124,0.7572530187,-1.883184937,656.9558316,126.6616617,-1767.385893,-671.452222,4023.633069,-121.9775844,53.18696477,3.619750207,1.357651737,-0.3456901264,16.71644424,-22.92132866
125,0.7578450584,-1.886203613,657.5336255,126.2330953,-1770.217118,-673.6582215,4027.071704,-121.8579598,53.16437847,3.627634009,1.357998353,-0.3478698162,16.69740099,-22.88219403
126,0.7582188701,-1.889220586,657.9157046,126.0499347,-1773.042687,-675.9723325,4030.887506,-121.2989083,53.13285552,3.634700457,1.354286454,-0.3530792543,16.68844666,-22.83736861
127,0.7586061672,-1.892156774,658.3014027,126.0724384,-1775.795095,-678.2195076,4035.043907,-120.6652112,53.11035998,3.641459324,1.353172016,-0.3562752207,16.67173584,-22.80023182
128,0.7588620201,-1.895069683,658.5725672,126.2964978,-1778.521937,-680.5124998,4039.507913,-119.8726704,53.07913128,3.647994372,1.348322973,-0.3627330849,16.66454729,-22.75642032
129,0.7590975909,-1.897496008,658.8149325,126.5830235,-1780.795594,-682.5298366,4043.129963,-119.0597705,53.0576814,3.655338527,1.34660182,-0.3673933288,16.64971381,-22.71936985
130,0.7590786364,-1.899482135,658.8269012,126.8834872,-1782.652716,-684.4222556,4045.857845,-118.0510342,53.02793751,3.663102157,1.341156757,-0.3754172329,16.64483938,-22.6750146
131,0.7589898195,-1.900672821,658.7635814,127.1309792,-1783.76669,-685.94988,4047.093875,-117.0049971,53.00796584,3.671734747,1.338521139,-0.3818256081,16.6321785,-22.63738176
132,0.7587181164,-1.901245595,658.5372478,127.3477902,-1784.297252,-687.2967842,4047.252624,-115.970344,52.97949961,3.680694798,1.331941955,-0.3917382768,16.62974412,-22.59233715
133,0.7584581349,-1.90133729,658.311746,127.5704249,-1784.37963,-688.3364977,4046.451111,-115.2517204,52.96119383,3.690499634,1.328328909,-0.3999258679,16.61918426,-22.55451725
134,0.7581314253,-1.901374026,658.0314773,127.9226956,-1784.406955,-689.3516124,4045.475594,-114.6636486,52.93507819,3.700548151,1.321203516,-0.4114550737,16.61754824,-22.51004111
135,0.757922765,-1.901204672,657.8511555,128.4056847,-1784.243601,-690.1677327,4043.794099,-114.274512,52.91972086,3.711137213,1.316667684,-0.4214007996,16.60741413,-22.47409776
136,0.757572708,-1.901066025,657.5465425,129.0168214,-1784.10466,-691.0315642,4041.857234,-113.8292289,52.89605462,3.721633856,1.307747854,-0.434953484,16.60803398,-22.43148793
